audience1,audience2,audience3,audience4,contributor1id,contributor1name,contributor1role,contributor2id,contributor2name,contributor2role,contributor3id,contributor3name,contributor3role,contributor4id,contributor4name,contributor4role,creator1id,creator1name,format1,language1,licenseCondition1,publicationType1,publicationVersion1,publishDate1,publisher1,publisher2,repoName,resourceIdentifier1,resourceIdentifier2,source1,source2,subject10key,subject10value,subject11key,subject11value,subject12key,subject12value,subject13key,subject13value,subject14key,subject14value,subject15key,subject15value,subject16key,subject16value,subject17key,subject17value,subject18key,subject18value,subject19key,subject19value,subject1key,subject1value,subject20key,subject20value,subject2key,subject2value,subject3key,subject3value,subject4key,subject4value,subject5key,subject5value,subject6key,subject6value,subject7key,subject7value,subject8key,subject8value,subject9key,subject9value,title1
researchers,,,,2022077,ROBERTO ZAVALA MALDONADO,asesorTesis,,,,,,,,,,860288,SILVIANO JIMENEZ JIMENEZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,,2014-02-28,Centro de Investigaciones y Estudios  Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/91,,PUBLICACION IMPRESA,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Lingüisitica,Lingüisitica,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5704,TEORÍA LINGÜÍSTICA,info:eu-repo/classification/cti/570499,OTRAS,,,,,,,,,Esbozo gramatical y oraciones de relativo en el zoque de San Miguel Chimalapa.
researchers,,,,,,,,,,,,,,,,944787,JAIR APOSTOL POLANCO,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,,2014-07-18,Centro de Investigaciones y Estudios  Superiores en Antropología Social,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/97,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Xochistlahuaca Guerrero - Amuzgo,Xochistlahuaca Guerrero - Amuzgo,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Clases flexivas verbales en el amuzgo de Xochistlahuaca Guerrero.
researchers,,,,2019375,MARIA DE LOURDES DE LEON PASQUEL,asesorTesis,2011537,DORA MARIA PELLICER SILVA,asesorTesis,,,,,,,949788,NARCE DALIA ARCOS LOPEZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,,2013-10-29,Centro de Investigaciones y Estudios  Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/98,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Socialización - Niños - Lenguaje - Adquisición del - México - Chiapas,Socialización - Niños - Lenguaje - Adquisición del - México - Chiapas,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Socialización lingüística intergeneracional: las narrativas en una familia Ch’ol de la ranchería Joljamil Grande Tumbalá Chiapas.
researchers,,,,2301625,ELADIO MATEO TOLEDO,asesorTesis,,,,,,,,,,975019,JOSE REGINALDO PEREZ VAIL,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,,2014-02-07,Centro de Investigaciones y Estudios Superiores en Antropología Social  : Comisión Nacional para el Desarrollo de los Pueblos Indígenas,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/102,,Publcación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Mame - Morfología. - Mame - Formación de palabras. - Lengua mam - Análisis e  interpretación. -Mame - Gramática.,Mame - Morfología. - Mame - Formación de palabras. - Lengua mam - Análisis e  interpretación. -Mame - Gramática.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5701,LINGÜÍSTICA APLICADA,info:eu-repo/classification/cti/570199,OTRAS,,,,,,,,,La inversión y la obviación del mam en Cajolá.
researchers,,,,977073,GILLES POLIAN,asesorTesis,,,,,,,,,,869202,MIGUEL SILVANO JIMENEZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,,2014-02-28,Centro de Investigaciones y Estudios Superiores en Antropología Social,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/110,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Tseltal - Gramática - Variación - Sociolingüística - Dialectología,Tseltal - Gramática - Variación - Sociolingüística - Dialectología,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Evaluación dialectológica de la variación interna en Bachajón Chiapas.
researchers,,,,,,,,,,,,,,,,853554,NESTOR HERNANDEZ GREEN,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/doctoralThesis,,2015-01-15,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/134,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Linguistica,Linguistica,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5701,LINGÜÍSTICA APLICADA,info:eu-repo/classification/cti/570103,BILINGÜISMO,,,,,,,,,Morfosintaxis verbal del otomí de Acazulco
researchers,,,,,,,,,,,,,,,,822511,PAFNUNCIO ANTONIO RAMOS,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/doctoralThesis,,2015-04-24,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/139,,Publicación Impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Zapoteco - Gramática.- Zapoteco - Morfología.,Zapoteco - Gramática.- Zapoteco - Morfología.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5704,TEORÍA LINGÜÍSTICA,info:eu-repo/classification/cti/570499,OTRAS,,,,,,,,,La fonología y morfología del zapoteco de San Pedro Mixtepec
researchers,,,,2022077,ROBERTO ZAVALA MALDONADO,director,,,,,,,,,,821474,GODOFREDO G. SANTIAGO MARTINEZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/doctoralThesis,,2015-08-27,Centro de Investigaciones y Estudios Superiores en Antropología Social,Centro de Desarrollo Indígena,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/143,,Publicación Impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Mixe - Gramática - Tamazulápam Oaxaca. -Mixe lenguaje - Tamazulápam Oaxaca.,Mixe - Gramática - Tamazulápam Oaxaca. -Mixe lenguaje - Tamazulápam Oaxaca.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Témas de fonología y morfosintáxis del Mixe de Tamazulapam Oaxaca
researchers,,,,,,,,,,,,,,,,822391,ROLANDO HERNANDEZ DOMINGUEZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/doctoralThesis,,2012-08-31,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/144,,Publicación Impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Purépecha - Lengua. -Purépecha - Verbo. -Purépecha - Gramática. -Purépecha -  Variación.,Purépecha - Lengua. -Purépecha - Verbo. -Purépecha - Gramática. -Purépecha -  Variación.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Na- kani-ne jucha anapu jimpo : Aspecto Tiempo Modalidad y Modo en purépecha.
researchers,,,,2025045,MARIA REGINA MARTINEZ CASAS,asesorTesis,,,,,,,,,,941940,DOMINGA CRUZ REYES,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,,2015-09-08,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/154,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Día de muertos - México - Huasteca Veracruzana - Ritos y ceremonias - Narrativa nahua - Nahuas - Vida social y costumbres - Ritos y ceremonias fúnebres - Religión,Día de muertos - México - Huasteca Veracruzana - Ritos y ceremonias - Narrativa nahua - Nahuas - Vida social y costumbres - Ritos y ceremonias fúnebres - Religión,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Ofrenda a los muertos : Narraciones en una comunidad nahua de la Huasteca Veracruzana
researchers,,,,2019375,MARIA DE LOURDES DE LEON PASQUEL,asesorTesis,,,,,,,,,,941746,EDER SANTIAGO GARCIA,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,,2015-09-07,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/164,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Socialización - Interacción social - Sociolingüística - Abuelos y nietos - Niños - Lenguaje - México - Oaxaca,Socialización - Interacción social - Sociolingüística - Abuelos y nietos - Niños - Lenguaje - México - Oaxaca,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,INTERACCIONES EN ZAPOTECO EN HOGARES BILINGÜES DE MITLA OAXACA: UN ESTUDIO DE LOS NICHOS DE SOCIALIZACIÓN EN ABUELOS Y NIETOS.
librarians,students,researchers,teachers,2022077,ROBERTO ZAVALA MALDONADO,director,,,,,,,,,,866973,JUAN CLIMACO GUTIERREZ DIAZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2014-11-14,Centro de Investigaciones y Estudios Superiores en Antropología Social,COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/190,,PUBLICACIÓN IMPRESA,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Lengua mixteca – Análisis e interpretación. Mixe - Verbos. Mixe – Gramática.,Lengua mixteca – Análisis e interpretación. Mixe - Verbos. Mixe – Gramática.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5701,LINGÜÍSTICA APLICADA,info:eu-repo/classification/cti/570103,BILINGÜISMO,,,,,,,,,Estructura de Cláusula predicación primaria y predicación secundaria en el mixe de Tlahuitoltepec.
librarians,students,researchers,teachers,2301625,ELADIO MATEO TOLEDO,director,,,,,,,,,,940969,ELODIA RAMIREZ PEREZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2014-09-14,Centro de Investigaciones y Estudios Superiores en Antropología Social,COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/191,,PUBLICACIÓN IMPRESA,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Lengua mixteca. Morfología. Mixteco – Sintaxis. Mixteco – Gramática.,Lengua mixteca. Morfología. Mixteco – Sintaxis. Mixteco – Gramática.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5701,LINGÜÍSTICA APLICADA,info:eu-repo/classification/cti/570103,BILINGÜISMO,,,,,,,,,La predicación no verbal y las construcciones copulares en el tnu’ u23 dau23  de  Santa María Peñoles Etla Oaxaca.
librarians,students,researchers,teachers,2011461,JOSE ANTONIO FLORES FARFAN,director,,,,,,,,,,940998,MARTIN JACINTO MEZA,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2014-05-14,Centro de Investigaciones y Estudios Superiores en Antropología Social,COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/192,,PUBLICACIÓN IMPRESA,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Náhuatl – Estudio y enseñanza. Náhuatl – Gramática. Chilapa de Álvarez Guerrero – Historia.,Náhuatl – Estudio y enseñanza. Náhuatl – Gramática. Chilapa de Álvarez Guerrero – Historia.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5704,TEORÍA LINGÜÍSTICA,info:eu-repo/classification/cti/570499,OTRAS,,,,,,,,,Documentación Lingüística de la variante náhuatl de Atzacoaloya  Guerrero
researchers,,,,2011461,JOSE ANTONIO FLORES FARFAN,asesorTesis,,,,,,,,,,2228166,LORENA CORDOVA HERNANDEZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2014-09-11,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/193,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Chuj (idioma – Dialectos – Chiapas. Lenguaje y lenguas – México – Chiapas. Chujes – Vida social y costumbres.,Chuj (idioma – Dialectos – Chiapas. Lenguaje y lenguas – México – Chiapas. Chujes – Vida social y costumbres.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Esfuerzos de revitalización de la lengua chuj en contextos fronterizos multilingües del estado de Chiapas. Acercamientos y aportes desde la perspectiva ecológica ascendente
researchers,,,,2019375,MARIA DE LOURDES DE LEON PASQUEL,asesorTesis,2004081,PAULETTE LEVY BRZEZINSKA,asesorTesis,,,,,,,938824,FAUSTINO MONTES CASTAÑEDA,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2014-04-30,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/196,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Totonaco – Gramática. Lenguaje adquisición del. Niños – Lenguaje.,Totonaco – Gramática. Lenguaje adquisición del. Niños – Lenguaje.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Adquisición de la semántica de las raíces léxica topológicas de contacto y separación: ‘poner (se)’ y ‘quitar (se)’ prendas de vestir en el totonaco de Santa Ana Chumatlán Veracruz.
librarians,students,researchers,teachers,2121992,SAUL HORACIO MORENO ANDRADE,analista,,,,,,,,,,867533,SELENE CRUZ PASTRANA,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2014-02-12,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/198,,OUBLICACIÓN IMPRESA PUBLICACIÓN ELECTRÓNICA,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Trabajadores migratorios – México – Xalapa de Enriquez – Chiapas. Economía informal – Aspectos sociales –Sociología del trabajo,Trabajadores migratorios – México – Xalapa de Enriquez – Chiapas. Economía informal – Aspectos sociales –Sociología del trabajo,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5704,TEORÍA LINGÜÍSTICA,info:eu-repo/classification/cti/570499,OTRAS,,,,,,,,,LI TA LUTIK XA TA KAMTEL TI. Análisis de la reconfiguración del trabajo en un grupo de trabajadores chiapanecos en Xalapa Veracruz
researchers,,,,2022077,ROBERTO ZAVALA MALDONADO,asesorTesis,,,,,,,,,,829558,OSCAR LOPEZ NICOLAS,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2016-05-12,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/215,,Publicación impresa,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/Zapoteco - Gramática. Zapoteco - Morfología. Zapoteco - Estudio y enseñanza.,Zapoteco - Gramática. Zapoteco - Morfología. Zapoteco - Estudio y enseñanza.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5799,OTRAS ESPECIALIDADES LINGÜÍSTICAS,info:eu-repo/classification/cti/579999,OTRAS,,,,,,,,,Estudios en la fonología y gramática del zapoteco de Zoochina.
students,researchers,teachers,generalPublic,2021302,SERGIO JAVIER NAVARRETE PELLICER,asesorTesis,,,,,,,,,,884442,GERARDO ARTURO GUTIERREZ PLIEGO,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2017-02,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/382,,Recurso impreso recurso electrónico,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/1. Música rock - Estudio y enseñanza - Oaxaca. 2. Música rock - Historia - Siglo XX. 3. Cultura popular. 4. Banda de música - Estudio y enseñanza - Oaxaca.,1. Música rock - Estudio y enseñanza - Oaxaca. 2. Música rock - Historia - Siglo XX. 3. Cultura popular. 4. Banda de música - Estudio y enseñanza - Oaxaca.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510104,ETNOMUSICOLOGÍA,,,,,,,,,Aprendizajes Colectivos a través del rock. Transformaciones en la escena de música alternativa de la Ciudad de Oaxaca.
students,researchers,teachers,generalPublic,2301625,ELADIO MATEO TOLEDO,asesorTesis,,,,,,,,,,872845,JOSE DEL CARMEN OSORIO MAY,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2016-05,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/383,,Recurso impreso recurso electrónico,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/1. Pokoman - Gramática. 2. Pokoman - Morfología. 3. Pokoman - Formación de las palabras. 4. Pokoman - Ortografía y deletreo.,1. Pokoman - Gramática. 2. Pokoman - Morfología. 3. Pokoman - Formación de las palabras. 4. Pokoman - Ortografía y deletreo.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5701,LINGÜÍSTICA APLICADA,info:eu-repo/classification/cti/570111,ENSEÑANZA DE LENGUAS,,,,,,,,,"Temas de la sintaxis del yokot'an de Tecoluta Nacajuca Tabasco"
students,researchers,teachers,generalPublic,2202084,MARIO ERNESTO CHAVEZ PEON HERRERO,asesorTesis,,,,,,,,,,975591,JUANA MENDOZA RUIZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2016-11,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/451,,Recurso impreso recurso electrónico,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/1. Mixteco (idioma) - Gramática - México - Alcozauca Guerrero. 2. Mixteco (idioma) - Estudio y enseñanza.,1. Mixteco (idioma) - Gramática - México - Alcozauca Guerrero. 2. Mixteco (idioma) - Estudio y enseñanza.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5701,LINGÜÍSTICA APLICADA,info:eu-repo/classification/cti/570111,ENSEÑANZA DE LENGUAS,,,,,,,,,Fonología segmental y patrones tonales del Tu'un Savi de Alcozauca de Guerrero
students,researchers,teachers,generalPublic,,,,,,,,,,,,,822391,ROLANDO HERNANDEZ DOMINGUEZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2015-08,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/452,,Recurso impreso recurso electrónico,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/1. Purépecha - Lengua. 2. Purépecha - Verbo. 3. Purépecha - Gramática. 4. Purépecha - Variación.,1. Purépecha - Lengua. 2. Purépecha - Verbo. 3. Purépecha - Gramática. 4. Purépecha - Variación.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5701,LINGÜÍSTICA APLICADA,info:eu-repo/classification/cti/570111,ENSEÑANZA DE LENGUAS,,,,,,,,,Na-Kani_ne jucha anapu jimpo/Aspecto tiempo modalidad y modo en purépecha
students,researchers,teachers,generalPublic,977073,GILLES POLIAN,asesorTesis,,,,,,,,,,958007,JOSE GONZALO BENITO PEREZ,application/pdf,spa,http://creativecommons.org/licenses/by-nc-sa/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2016-11,Centro de Investigaciones y Estudios Superiores en Antropología Social,,REPOSITORIO INSTITUCIONAL DEL CIESAS,http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/454,,Recurso impreso recurso electrónico,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LC/1. Pokoman - Gramática. 2. Pokoman - Morfología. 3. Pokoman - Formación de las palabras. 4. Pokoman - Ortografía y deletreo.,1. Pokoman - Gramática. 2. Pokoman - Morfología. 3. Pokoman - Formación de las palabras. 4. Pokoman - Ortografía y deletreo.,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/57,LINGÜÍSTICA,info:eu-repo/classification/cti/5701,LINGÜÍSTICA APLICADA,info:eu-repo/classification/cti/570111,ENSEÑANZA DE LENGUAS,,,,,,,,,Orden básico y pragmática de las voces en poqom
